Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Replicate
PRKG1,0.18,0.0013,0.7142,4.3418,2.5,0.0135,0.5386,4.4301,7.42,0.0274,0.3688,4.3722,iPSC,Rep 1
PROC,0.02,0.0001,0.7191,0.4195,0.25,0.0014,0.5554,0.4321,0.77,0.0028,0.371,0.4327,iPSC,Rep 1
PROK2,0.02,0.0002,0.6617,0.5244,0.32,0.0014,0.4393,0.5314,0.98,0.0031,0.3152,0.547,iPSC,Rep 1
PROKR2,0.0,0.0,0.4065,0.003,0.0,0.0,0.4065,0.0032,0.01,0.0,0.4065,0.0035,iPSC,Rep 1
PROM1,0.69,0.0057,0.8204,19.7914,9.32,0.0571,0.6127,20.2268,27.97,0.1229,0.4394,20.4799,iPSC,Rep 1
PROS1,0.14,0.0012,0.8564,3.2541,1.83,0.0105,0.5741,3.2137,5.45,0.0206,0.3783,3.1883,iPSC,Rep 1
PRPF3,0.46,0.005,1.0822,11.7011,5.95,0.0433,0.7281,11.389,17.04,0.0782,0.4589,10.9739,iPSC,Rep 1
PRPF31,2.32,0.0424,1.824,140.8384,27.7,0.3791,1.3684,141.2641,71.58,0.7067,0.9873,141.781,iPSC,Rep 1
PRPF4,0.99,0.0106,1.0734,30.7434,12.77,0.0964,0.7548,30.649,37.33,0.1929,0.5168,30.6784,iPSC,Rep 1
PRPF8,0.92,0.0089,0.9688,28.7058,12.17,0.0825,0.6779,29.0422,35.62,0.1721,0.4833,28.8609,iPSC,Rep 1
PRPH2,0.04,0.0003,0.728,1.0038,0.6,0.003,0.4943,1.0211,1.85,0.0066,0.3576,1.042,iPSC,Rep 1
PRSS1,0.0,0.0,0.2133,0.009,0.01,0.0,0.2133,0.0096,0.02,0.0,0.2133,0.0104,iPSC,Rep 1
PSMD12,2.01,0.0337,1.6767,85.5332,24.02,0.2895,1.2053,83.5062,61.91,0.4813,0.7774,80.6354,iPSC,Rep 1
RAB7A,2.26,0.0412,1.8229,122.8868,26.71,0.3541,1.3261,121.8535,68.56,0.6329,0.9231,121.0379,iPSC,Rep 1
