Gene_Symbol,Detection_Rate_%,Mean_CPM_percell_All,Mean_CPM_percell_Only_Detected,Aggregated_CPM,Cell_Type,Replicate,Dataset,Sample_ID,QC_Min_Genes,Cells_Passing_QC,Median_Genes_Per_Cell,Gene_Found
ACTA2,39.42,1.6342999935150146,4.145599842071533,40.929901123046875,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ACTB,96.59,7.331399917602539,7.589799880981445,2962.239501953125,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ACTC1,6.24,0.2953000068664551,4.730400085449219,41.9192008972168,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ACTG1,97.99,7.8592000007629395,8.020600318908691,4235.78076171875,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ACTL6A,36.89,1.3882999420166016,3.763000011444092,21.318500518798828,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ACTN1,57.53,2.4584999084472656,4.273099899291992,66.283203125,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ACTN2,0.1,0.00430000014603138,4.156400203704834,0.03880000114440918,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ACVR1,19.97,0.7171000242233276,3.5913000106811523,9.29170036315918,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ADAR,55.99,2.265399932861328,4.046299934387207,39.63019943237305,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ADCY5,1.08,0.03959999978542328,3.6589999198913574,0.44620001316070557,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
AFG3L2,50.98,2.0167999267578125,3.9560999870300293,33.24829864501953,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
AGO2,37.77,1.4545999765396118,3.8512001037597656,21.900400161743164,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
AICDA,0.05,0.0019000000320374966,3.7435998916625977,0.01940000057220459,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
AKT3,6.5,0.22759999334812164,3.500499963760376,2.8903000354766846,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
