Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Cell_Line,Developmental_Stage,Replicate,Source_File,CMO_Assignment_Method
NEK1,0.34,0.0036,1.05,23.7144,18.64,0.1045,0.5604,24.521,31.75,0.1652,0.5205,25.1037,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NEK8,0.05,0.0005,1.1597,2.5261,2.3,0.0094,0.4105,2.2644,3.8,0.0124,0.3272,2.2363,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NEXN,2.32,0.0728,3.1415,795.5394,65.18,1.4929,2.2904,833.7733,91.45,2.0088,2.1967,853.5247,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NFKB1,0.27,0.0028,1.0133,18.8426,15.06,0.0822,0.5456,19.3665,25.54,0.1234,0.4829,19.6861,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NFKB2,0.19,0.0022,1.1236,11.3416,10.33,0.0567,0.5484,11.2326,17.77,0.0851,0.4791,11.5282,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NFKBIA,0.33,0.0038,1.1778,23.7917,17.36,0.1061,0.6111,24.2528,29.58,0.1672,0.5653,24.8832,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NKX2-1,0.0,0.0,3.6829,0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NOD2,0.0,0.0,0.6252,0.0258,0.03,0.0002,0.6252,0.0298,0.06,0.0004,0.6252,0.0315,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NOTCH2,0.55,0.0073,1.3339,44.6191,27.52,0.1868,0.6785,44.6026,45.48,0.2675,0.5881,45.1362,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NOVA2,0.0,0.0,0.8789,0.1804,0.2,0.0006,0.3019,0.1788,0.36,0.0011,0.3019,0.189,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NPRL2,0.19,0.0022,1.1609,10.8261,9.96,0.0549,0.5515,10.6963,16.87,0.0807,0.4783,10.8037,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NR2F2,0.6,0.0078,1.3045,63.8741,32.22,0.2684,0.8331,68.3489,54.64,0.4265,0.7806,70.0194,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NRAS,0.39,0.0053,1.3367,29.7461,19.79,0.1258,0.6356,29.4073,32.83,0.1741,0.5302,29.7653,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
NRL,0.03,0.0003,0.9933,1.727,1.82,0.008,0.4366,1.6685,3.25,0.0142,0.4366,1.7639,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
OPA1,0.73,0.0108,1.4867,72.7154,36.24,0.301,0.8307,74.4866,60.48,0.4522,0.7477,76.004,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
OPA3,0.36,0.0039,1.0804,23.4824,19.12,0.1076,0.563,23.6867,32.77,0.1666,0.5085,24.2532,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
OPTN,0.67,0.0098,1.4668,71.5297,33.77,0.2753,0.8151,74.2185,56.27,0.4139,0.7356,75.9725,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ORAI1,0.34,0.0047,1.4055,23.0442,16.35,0.096,0.5875,21.9587,27.29,0.1309,0.4796,22.2059,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
OSBPL2,0.38,0.0043,1.1207,25.5187,20.4,0.1213,0.5945,25.7128,34.76,0.1859,0.535,26.2061,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
P2RX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
P2RY12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PACS1,0.85,0.0138,1.6122,99.9354,41.91,0.3873,0.9241,103.8045,69.46,0.5904,0.85,106.2418,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PACS2,0.29,0.0034,1.1947,17.76,14.93,0.0854,0.5721,17.2511,24.88,0.1201,0.4828,17.2607,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PARN,0.3,0.0035,1.1529,19.1519,15.5,0.0826,0.5329,18.6217,26.08,0.1237,0.4742,18.8671,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PCGF2,0.39,0.0049,1.2569,26.524,19.86,0.1169,0.5885,25.8618,33.73,0.1739,0.5156,26.4266,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PCSK9,0.0,0.0,0.9734,0.1031,0.1,0.0002,0.2298,0.0894,0.12,0.0002,0.1802,0.063,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PDGFRA,0.63,0.0108,1.701,59.7499,28.64,0.2464,0.8604,58.2485,46.63,0.347,0.7441,58.8062,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PDX1,0.01,0.0001,1.9272,0.464,0.2,0.0014,0.6939,0.3873,0.3,0.0012,0.3901,0.378,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PFN1,2.83,0.0936,3.3023,743.0842,67.24,1.3939,2.073,746.1472,94.94,1.8374,1.9353,768.4495,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PIEZO1,0.3,0.0036,1.2066,19.8737,15.23,0.0847,0.5561,19.5751,25.72,0.125,0.486,19.9065,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PIK3CA,0.49,0.006,1.2104,39.5411,25.9,0.1731,0.6684,40.4909,43.25,0.2492,0.5761,40.947,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PIK3CD,0.02,0.0001,0.6049,1.1084,1.32,0.005,0.3818,1.1918,2.23,0.0078,0.3518,1.1654,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PIK3R1,0.66,0.0081,1.2259,77.613,37.08,0.3186,0.859,85.0041,62.95,0.513,0.8149,87.5636,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PIK3R2,0.34,0.0038,1.132,22.3224,18.17,0.1026,0.5649,22.495,31.02,0.1571,0.5063,22.9618,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PLAU,0.06,0.0007,1.1621,3.7891,3.28,0.0175,0.535,3.6647,5.66,0.0261,0.4609,3.7797,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PLCB4,0.45,0.0049,1.0986,34.7982,24.92,0.1721,0.6906,36.6176,42.05,0.2673,0.6356,37.2933,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PLIN1,0.0,0.0,0.4997,0.0516,0.07,0.0003,0.4997,0.0596,0.06,0.0001,0.1889,0.0315,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PLN,2.68,0.0919,3.4297,1160.4569,66.9,1.7419,2.6037,1237.9078,91.14,2.3404,2.5678,1272.5387,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PMP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
POFUT1,0.21,0.0023,1.1032,11.9345,11.04,0.0569,0.5155,11.5305,18.49,0.0784,0.4238,11.5282,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
POLD1,0.17,0.002,1.1845,10.1044,8.44,0.0423,0.5009,9.7131,14.52,0.0636,0.4379,9.9533,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
POLE,0.13,0.0016,1.2091,8.4031,6.82,0.0334,0.4897,8.0743,11.51,0.0483,0.42,8.1894,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
POLR1B,0.14,0.0016,1.154,7.8876,6.99,0.0317,0.4532,7.3891,12.05,0.0499,0.4141,7.5909,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
POLR3B,0.16,0.0017,1.0804,9.0218,8.17,0.042,0.514,8.7894,13.8,0.0594,0.4309,8.8824,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
POU3F3,0.0,0.0,0.6112,0.0258,0.03,0.0002,0.6112,0.0298,0.06,0.0004,0.6112,0.0315,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PPARG,0.03,0.0003,1.0135,1.7012,1.35,0.0069,0.5135,1.7281,2.41,0.0124,0.5135,1.8269,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PPM1D,0.17,0.0017,0.9882,10.0013,9.22,0.0446,0.4841,10.0706,15.72,0.0662,0.4209,10.2368,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PPOX,0.15,0.0017,1.0828,8.3258,8.07,0.0421,0.5221,8.0446,13.37,0.0561,0.4192,7.9689,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PPP1CB,1.3,0.0293,2.2448,204.8199,52.41,0.6808,1.2989,207.7283,84.7,1.0114,1.1941,213.1134,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PPP1R12A,1.31,0.0294,2.2439,239.8759,53.6,0.737,1.3752,248.3085,86.2,1.1052,1.2821,255.2889,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PPP2CA,0.92,0.0163,1.7856,93.8006,40.86,0.3718,0.9098,92.1846,66.93,0.5341,0.7981,93.9261,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PPP2R1A,1.01,0.019,1.8791,114.9889,43.87,0.4258,0.9706,113.9645,72.05,0.6312,0.8761,116.762,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PPP2R5D,0.27,0.0034,1.2487,17.2187,13.61,0.0708,0.5201,16.5062,23.31,0.1081,0.4638,16.9458,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PRDM16,0.16,0.0016,1.0068,9.7951,8.81,0.05,0.567,10.1898,14.94,0.0786,0.526,10.3312,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PRKAG2,1.0,0.019,1.8975,146.3331,45.19,0.5063,1.1204,151.7143,73.67,0.7574,1.028,154.9372,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PRKG1,0.3,0.0029,0.9483,22.6317,17.43,0.1058,0.6073,24.1933,29.94,0.1706,0.5698,24.9777,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PROC,0.0,0.0001,2.159,0.232,0.14,0.0004,0.3077,0.1788,0.24,0.0007,0.3077,0.189,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PROK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PROKR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PROM1,0.13,0.0022,1.6285,7.5267,5.64,0.0326,0.5779,6.0781,9.4,0.0491,0.5221,6.0791,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PROS1,0.59,0.0064,1.0965,58.2291,33.4,0.2501,0.7486,63.3434,57.59,0.4152,0.7209,65.2947,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PRPF3,0.25,0.0029,1.1346,15.6721,13.04,0.0665,0.5099,15.2549,21.93,0.0995,0.4536,15.4339,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PRPF31,0.62,0.01,1.6222,51.6561,28.57,0.2094,0.7329,49.4591,47.53,0.2925,0.6153,50.3333,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PRPF4,0.37,0.0044,1.2101,26.4209,18.88,0.1088,0.5763,26.2193,32.11,0.1587,0.4943,26.8675,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PRPF8,0.8,0.0134,1.6775,78.1285,36.14,0.2894,0.8009,76.5424,60.66,0.4452,0.7339,78.6183,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PRPH2,0.02,0.0002,1.113,1.0568,0.98,0.0033,0.3416,0.9534,1.69,0.0053,0.3127,0.9764,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PRSS1,0.02,0.0007,3.1149,2.191,0.51,0.006,1.1771,1.6387,0.66,0.0038,0.5711,1.6064,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
PSMD12,0.78,0.0133,1.692,85.6037,36.1,0.3063,0.8483,85.9277,60.36,0.4613,0.7643,88.414,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RAB7A,0.8,0.0124,1.547,76.1695,38.47,0.3106,0.8075,76.3637,64.94,0.4744,0.7305,78.5238,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RAC1,1.5,0.0371,2.4838,266.9669,55.32,0.781,1.4118,271.0121,86.63,1.1011,1.2711,277.7467,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RAC2,0.04,0.0004,1.0075,2.1394,2.09,0.0097,0.4649,2.1154,3.49,0.0126,0.3602,2.1103,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RAF1,0.56,0.0072,1.2774,43.9231,29.45,0.2064,0.7009,44.9601,48.86,0.2975,0.609,45.1047,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RALA,0.64,0.009,1.4155,62.7142,32.52,0.2488,0.765,64.6842,55.18,0.3826,0.6934,66.6176,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RANBP2,0.82,0.0137,1.6702,90.6301,37.59,0.3265,0.8685,91.112,62.47,0.4936,0.7901,93.2332,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RARB,0.24,0.0019,0.8049,15.337,14.12,0.0731,0.5179,16.536,24.28,0.1175,0.4841,17.0088,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RBFOX2,1.24,0.0257,2.0728,171.0011,52.25,0.6177,1.1823,172.4216,83.49,0.8937,1.0704,175.2217,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RBM20,0.81,0.0135,1.6613,81.3506,38.4,0.354,0.9218,81.7267,61.75,0.4964,0.804,81.5476,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RDH12,0.0,0.0,0.2611,0.0773,0.1,0.0003,0.2611,0.0894,0.18,0.0005,0.2611,0.0945,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RELA,0.37,0.0041,1.0974,23.405,19.96,0.1098,0.5503,23.5974,34.34,0.1683,0.4901,24.2847,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
REN,0.0,0.0001,2.1097,0.232,0.1,0.0003,0.3121,0.149,0.18,0.0006,0.3121,0.1575,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RERE,0.99,0.0184,1.8575,120.273,43.77,0.4335,0.9904,120.9365,70.96,0.6335,0.8926,122.715,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RFX3,0.22,0.0023,1.0147,13.9193,12.26,0.066,0.5383,14.212,20.84,0.0991,0.4753,14.4889,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RFX6,0.01,0.0001,2.1091,0.6444,0.2,0.0009,0.4437,0.5363,0.3,0.0014,0.4667,0.5355,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RFX7,0.25,0.0024,0.9815,14.7184,13.64,0.0732,0.5368,14.9271,22.77,0.1061,0.4657,14.9299,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RHBDF2,0.04,0.0004,1.0134,2.0106,1.96,0.0108,0.5502,1.9962,3.13,0.0116,0.3696,1.9214,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RHOBTB2,0.34,0.0034,0.9987,22.606,18.91,0.1142,0.604,23.5676,31.75,0.1699,0.5351,23.7808,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RIT1,0.52,0.0063,1.214,41.3197,27.73,0.1877,0.677,42.5765,47.05,0.2846,0.6049,43.6243,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RNF43,0.09,0.0008,0.958,4.4593,4.76,0.0258,0.5418,4.499,7.95,0.0355,0.4468,4.4412,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RP1,0.01,0.0001,1.6594,0.3609,0.24,0.0008,0.3509,0.3277,0.42,0.0015,0.3509,0.3465,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RPE65,0.0,0.0,0.3623,0.464,0.3,0.0011,0.3623,0.5363,0.54,0.002,0.3623,0.567,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RPL5,5.39,0.2145,3.9807,2151.0469,84.43,2.5924,3.0704,2180.7891,99.4,3.1092,3.128,2240.3369,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RPS10,1.18,0.0259,2.1965,138.497,46.23,0.4884,1.0563,133.0331,74.52,0.6929,0.9299,135.7551,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RRAS2,0.38,0.0047,1.2346,28.715,19.62,0.1139,0.5807,28.7518,33.25,0.17,0.5112,29.3874,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RYR1,0.0,0.0001,1.7438,0.1804,0.14,0.0007,0.5039,0.1192,0.24,0.0012,0.5039,0.126,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
RYR2,1.24,0.0297,2.4049,307.9,51.0,0.8593,1.6851,329.5287,80.42,1.2886,1.6023,334.0646,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
SAMD9,0.0,0.0,0.3756,0.232,0.27,0.001,0.3756,0.2682,0.48,0.0018,0.3756,0.2835,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
SAMD9L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
SATB1,0.38,0.0039,1.0152,26.524,21.48,0.1303,0.6065,27.858,36.75,0.2075,0.5647,28.4109,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
SCAF4,0.29,0.0032,1.0964,18.224,15.7,0.09,0.5728,18.5621,26.2,0.1289,0.4919,18.6151,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
SCN11A,0.01,0.0001,2.1474,0.3609,0.27,0.003,1.1229,0.2682,0.3,0.0012,0.3989,0.1575,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
SCN1B,0.03,0.0003,0.9331,1.6239,1.62,0.0069,0.428,1.6387,2.83,0.0107,0.3772,1.7009,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
SCN3A,0.0,0.0,1.6578,0.1547,0.1,0.0004,0.3868,0.1192,0.18,0.0007,0.3868,0.126,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
SCN8A,0.03,0.0003,0.9907,1.3662,1.52,0.0079,0.5216,1.3706,2.53,0.0107,0.424,1.3544,SCVI111 Day 30 cardiomyocytes,SCVI111,Day 30,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
