Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Cell_Line,Developmental_Stage,Replicate,Source_File,CMO_Assignment_Method
AP1G1,1.26,0.0102,0.8111,42.9995,38.59,0.1986,0.5147,43.4886,67.62,0.3083,0.4559,44.583,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
AP2M1,2.75,0.0637,2.319,300.9601,58.35,0.882,1.5117,300.432,92.68,1.303,1.4059,309.9704,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
APP,2.23,0.041,1.8385,179.3266,54.28,0.6172,1.1371,178.8805,87.47,0.8921,1.0199,182.5291,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ARF1,2.38,0.0501,2.1086,279.9538,57.1,0.8267,1.4477,284.2323,91.87,1.2447,1.3549,293.4084,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ARHGAP29,1.13,0.0106,0.9376,48.9277,33.63,0.1969,0.5855,49.4828,58.84,0.3118,0.5299,50.818,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ASXL2,0.97,0.007,0.7196,26.8402,29.92,0.1306,0.4364,26.897,52.14,0.1984,0.3805,27.269,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ATL1,0.17,0.0007,0.3887,3.1709,5.58,0.0145,0.2599,3.243,10.26,0.026,0.2531,3.3965,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ATL3,0.39,0.0024,0.6054,8.7363,12.2,0.0414,0.3395,8.7607,21.81,0.0659,0.3023,9.0088,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ATP11A,1.31,0.0131,0.9951,48.3109,38.3,0.219,0.5718,48.0688,65.41,0.3252,0.4972,48.1898,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ATP13A3,1.78,0.0256,1.4354,88.6982,46.89,0.3781,0.8063,87.0464,77.29,0.532,0.6883,86.9259,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ATP1A1,2.34,0.0468,2.0033,219.859,54.48,0.6867,1.2606,219.9408,88.06,1.0191,1.1574,224.7346,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ATP1A2,0.15,0.0018,1.2067,3.1274,4.02,0.0191,0.4738,2.7358,6.42,0.0205,0.3199,2.4584,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
ATP1A3,0.12,0.0017,1.362,2.2929,2.99,0.0147,0.4927,1.8367,4.77,0.0146,0.3067,1.6578,WTC Day 13 cardiomyocytes,WTC,Day 13,GSM6118770,GSM6118770_cardiac_raw_feature.h5,max_antibody_count_min_1
