Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Replicate,Source_File
DES,0,0,1.4029,0.0808,0.05,0.0003,0.6728,0.0758,0.06,0.0003,0.5206,0.0722,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
DHX30,0.86,0.0146,1.6957,79.8218,37.41,0.3592,0.9602,81.3617,49.22,0.4423,0.8987,81.6228,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
DIAPH1,0.31,0.0042,1.3374,23.487,15.28,0.1225,0.8018,24.8885,20.26,0.1521,0.7508,24.9497,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
DNAJB11,0.95,0.0171,1.8002,94.7727,39.64,0.399,1.0066,96.1626,52.06,0.4915,0.944,96.626,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
DNAJB6,1.97,0.0484,2.463,270.0133,62.73,0.9042,1.4414,262.1907,79.67,1.0696,1.3426,262.2721,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
DNAJC5,0.45,0.0076,1.7007,33.2686,18.26,0.1512,0.8277,30.3549,23.84,0.178,0.7467,30.0675,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
DNM1,1.06,0.0188,1.778,109.0859,46.4,0.505,1.0884,115.1242,60.31,0.6111,1.0132,115.0354,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
DNM1L,1.41,0.0285,2.0271,174.2204,56.45,0.7035,1.2463,181.4737,73.14,0.856,1.1704,181.9829,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
DNM2,0.41,0.0063,1.5388,31.1771,18.82,0.1684,0.8945,31.7093,24.67,0.2042,0.8277,31.5289,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
DPF2,0.59,0.009,1.5176,48.5936,27.21,0.2445,0.8987,50.4488,35.8,0.2994,0.8364,50.4051,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
DSC2,0.11,0.0017,1.4826,8.1067,5.23,0.046,0.8785,8.0668,6.89,0.0564,0.8192,8.0295,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
DSPP,0,0,1.633,0.0808,0.06,0.0005,0.9027,0.0867,0.07,0.0005,0.672,0.0778,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
EED,0.25,0.0036,1.4173,18.0627,11.95,0.0983,0.8224,18.3657,15.75,0.1198,0.7608,18.2928,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
EEF1A2,1.66,0.0393,2.3594,212.1099,55.86,0.7272,1.3017,207.0448,71.52,0.8644,1.2086,207.2771,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
EFEMP1,0.02,0.0003,1.5767,1.1308,0.75,0.0067,0.894,1.0944,0.99,0.0083,0.8362,1.0891,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
EGFR,0.06,0.0007,1.1973,4.2,2.93,0.0207,0.7072,4.5616,3.87,0.0252,0.6493,4.5565,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
EGR2,0,0,1.2615,0.0553,0.04,0.0002,0.6175,0.0542,0.05,0.0003,0.6175,0.0556,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
EIF2S3,1.06,0.02,1.8856,103.041,42.47,0.438,1.0313,100.8596,55.33,0.5278,0.954,100.7657,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ELANE,0,0,0,0,0,0,0,0,0,0,0,0,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ELOVL4,1.36,0.0282,2.0638,166.1391,51.68,0.6199,1.1994,167.3879,67.11,0.7532,1.1223,167.9966,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ELP4,0.28,0.0041,1.4882,20.2094,12.61,0.1034,0.82,19.8555,16.67,0.1274,0.7642,19.8375,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
EMC1,0.39,0.0056,1.4148,29.7445,19.02,0.1648,0.8665,31.5738,25.05,0.2017,0.8053,31.4955,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
EPCAM,0.24,0.0037,1.55,18.8449,10.56,0.0887,0.8401,18.8045,13.92,0.1083,0.778,18.804,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
EPHB4,0.11,0.001,0.9078,7.9494,6.48,0.0517,0.7973,9.8546,8.7,0.0675,0.7749,9.991,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
ETS1,0.02,0.0002,1.0144,1.3221,1.1,0.0082,0.7448,1.544,1.48,0.0105,0.7087,1.5559,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
EZH2,0.22,0.0034,1.5259,16.3835,10.26,0.0917,0.8935,16.3016,13.57,0.1139,0.8393,16.2868,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
F11,0,0,1.1469,0.0765,0.06,0.0006,0.873,0.0867,0.08,0.0006,0.7561,0.0834,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
F12,0.42,0.0064,1.5119,33.3197,19.03,0.1551,0.815,33.5621,25.23,0.193,0.7649,33.7238,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
F2,0,0,0.8027,0.0128,0.01,0.0001,0.8027,0.0163,0.02,0.0001,0.8027,0.0167,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
F5,0.18,0.0016,0.8853,12.8679,10.27,0.0783,0.7628,15.8953,13.75,0.1011,0.7355,16.0812,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FAM111B,0.17,0.0016,0.9962,11.6138,9.28,0.0727,0.7829,13.972,12.4,0.0929,0.749,14.0863,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FAR1,0.79,0.0141,1.7711,68.2674,32.49,0.3092,0.9517,65.228,42.12,0.3639,0.8639,64.6303,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FBLN5,0.01,0.0001,1.3924,0.4209,0.29,0.002,0.6977,0.4009,0.38,0.0025,0.6441,0.4001,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FBXO38,0.31,0.0044,1.4213,22.8451,14.68,0.1232,0.8395,23.7291,19.23,0.1478,0.7686,23.5494,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FGA,0,0,0,0,0,0,0,0,0,0,0,0,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FGB,0.01,0.0001,1.0582,0.3528,0.31,0.0025,0.8044,0.428,0.41,0.0031,0.7544,0.4279,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FGF12,1.1,0.0216,1.9593,133.8993,44.07,0.5,1.1344,137.8999,57.12,0.6013,1.0527,138.2292,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FGF8,0.01,0.0002,1.4645,0.6972,0.49,0.0045,0.9245,0.6935,0.64,0.0055,0.8642,0.689,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FGF9,0.67,0.0106,1.579,60.2075,30.22,0.2762,0.9142,62.4813,39.9,0.3427,0.8589,62.7577,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FGFR2,0.04,0.0004,0.9771,2.929,2.49,0.0197,0.7918,3.5106,3.31,0.0247,0.7462,3.5174,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FGFR3,0,0,0.9139,0.0723,0.06,0.0005,0.7536,0.0867,0.09,0.0006,0.7536,0.0889,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FGG,0,0,0,0,0,0,0,0,0,0,0,0,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FHOD3,0.45,0.0071,1.5673,35.0286,20.14,0.1746,0.8668,34.8406,26.42,0.2108,0.7979,34.6462,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FLI1,0.02,0.0002,0.9242,1.0883,0.95,0.0073,0.77,1.3165,1.25,0.0088,0.7039,1.3058,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FLT4,0.01,0.0001,1.2857,0.4889,0.37,0.0028,0.7659,0.5093,0.49,0.0034,0.699,0.5057,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FN1,0.03,0.0004,1.1168,2.5634,1.9,0.0166,0.8722,3.0555,2.52,0.0208,0.826,3.0673,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FOXA2,0,0,0.5922,0.0213,0.02,0.0001,0.5922,0.0271,0.03,0.0002,0.5922,0.0278,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FOXE3,0,0,1.2497,0.0213,0.02,0.0001,0.7315,0.0217,0.02,0.0002,0.7315,0.0222,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FOXJ1,0,0,1.1014,0.102,0.08,0.0006,0.7651,0.1138,0.11,0.0008,0.7651,0.1167,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FOXN1,0,0,0,0,0,0,0,0,0,0,0,0,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FTH1,7.82,0.3027,3.8724,2583.3401,92.09,2.9032,3.1526,2439.4956,96.82,2.9844,3.0823,2434.531,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FUS,2.26,0.0595,2.6386,390.5345,73.76,1.3034,1.7671,405.7736,91.93,1.5332,1.6677,405.3412,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
FXYD2,0.01,0.0001,1.2259,0.3486,0.27,0.0024,0.8854,0.3847,0.34,0.0026,0.7456,0.3667,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GABBR2,1.05,0.0193,1.8343,116.7293,44.38,0.4795,1.0805,121.5603,57.96,0.585,1.0094,121.9369,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GABRA1,0.04,0.0004,0.9525,2.8354,2.34,0.0171,0.7281,3.3481,3.16,0.0224,0.7092,3.4007,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GABRB2,0.06,0.0008,1.3135,4.166,2.92,0.0255,0.8746,4.567,3.9,0.0329,0.8437,4.6065,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GABRB3,1.77,0.0412,2.3277,277.4951,64.38,0.9621,1.4944,292.085,82.7,1.1717,1.4168,293.951,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GABRD,0.07,0.0007,1.0598,4.5869,3.73,0.03,0.8044,5.3743,4.92,0.0367,0.7462,5.3511,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GABRG2,0.41,0.0055,1.3593,32.716,20.07,0.1772,0.8832,35.7562,26.51,0.2196,0.8286,35.8131,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GANAB,0.47,0.0062,1.3229,38.3656,23.32,0.1906,0.8173,42.1815,31.2,0.2447,0.7845,42.6979,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GARS1,1.56,0.0342,2.1885,191.994,57.08,0.7339,1.2859,191.0249,73.15,0.8722,1.1923,190.5792,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GBA1,0.12,0.0017,1.4034,8.4808,5.76,0.0433,0.7521,8.4948,7.64,0.0534,0.6992,8.5074,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GDAP1,1.8,0.0418,2.3234,242.6239,63.36,0.8991,1.419,242.4056,80.3,1.0567,1.3158,241.4844,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GDF2,0,0,0,0,0,0,0,0,0,0,0,0,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GFAP,0.02,0.0002,1.0449,1.1563,0.97,0.0076,0.7825,1.3598,1.3,0.0098,0.7526,1.3725,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GFI1B,0.04,0.0004,1.0028,2.8822,2.39,0.0183,0.7658,3.3752,3.17,0.0227,0.7151,3.3674,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GGCX,0.35,0.0053,1.5022,26.3947,16.4,0.1369,0.8346,26.9526,21.59,0.1667,0.772,26.889,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GJB3,0,0,1.8362,0.0085,0,0,0.5079,0.0054,0.01,0,0.5079,0.0056,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GJB6,0,0,0.736,0.1403,0.13,0.0009,0.736,0.1788,0.17,0.0011,0.6776,0.1778,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GLUD1,0.9,0.0152,1.6914,83.5797,39.47,0.3961,1.0035,86.27,51.63,0.4819,0.9335,86.2015,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GLUL,0.81,0.0146,1.7892,68.9859,33.27,0.3193,0.9599,65.9757,43.51,0.3862,0.8876,65.7583,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GMNN,0.18,0.0026,1.4242,13.3228,8.28,0.0626,0.7562,13.3111,10.97,0.077,0.7021,13.3306,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GNAI1,1.53,0.034,2.2243,183.968,53.86,0.6835,1.269,178.1798,69.14,0.8148,1.1785,178.0487,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GNAO1,2.56,0.073,2.8511,518.8862,71.86,1.3745,1.9128,535.119,88.84,1.6145,1.8173,537.6525,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
GNAT1,0,0,0.9704,0.3061,0.26,0.0021,0.7919,0.363,0.35,0.0027,0.7639,0.3667,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
