Gene_Symbol,Raw_Detection_Rate_%,Raw_Mean_Expr_All,Raw_Mean_Expr_Detected,Raw_Aggregated_CPM,LooseQC_Detection_Rate_%,LooseQC_Mean_Expr_All,LooseQC_Mean_Expr_Detected,LooseQC_Aggregated_CPM,StrongQC_Detection_Rate_%,StrongQC_Mean_Expr_All,StrongQC_Mean_Expr_Detected,StrongQC_Aggregated_CPM,Cell_Type,Replicate,Source_File
SHOC2,1.75,0.0401,2.2935,217.4534,60.04,0.8039,1.339,209.0168,76.25,0.9402,1.2331,207.9106,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SIX1,0.14,0.0025,1.7791,15.5971,5.91,0.0599,1.015,16.2095,7.78,0.0745,0.9575,16.3479,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SKI,0.28,0.0033,1.1691,21.625,14.55,0.1092,0.7508,24.2384,19.5,0.1405,0.7207,24.5441,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SLC17A8,0,0,1.3598,0.1743,0.12,0.0011,0.8783,0.195,0.17,0.0015,0.8783,0.2,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SLC1A2,0.9,0.0152,1.6916,84.8635,40.28,0.4199,1.0425,88.8326,53,0.5216,0.9841,89.1077,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SLC1A3,0.03,0.0004,1.2599,2.4571,1.6,0.0149,0.9292,2.8388,2.15,0.0193,0.9008,2.8728,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SLC30A2,0.03,0.0003,1.1457,1.6622,1.38,0.0116,0.8405,1.9449,1.8,0.0138,0.7651,1.9171,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SLC4A3,0.56,0.0084,1.4935,46.5616,26.21,0.2292,0.8746,49.0727,34.47,0.2793,0.8101,49.0604,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SLC52A1,0.01,0.0001,0.9465,0.9735,0.86,0.0067,0.7829,1.1865,1.14,0.0084,0.7392,1.1891,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SLC5A7,0.64,0.0138,2.1488,86.1048,23.53,0.2919,1.2404,88.0307,30.21,0.3465,1.1472,88.2353,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SLFN14,0.03,0.0003,1.0066,1.8152,1.51,0.0117,0.7757,2.1345,2,0.0145,0.726,2.1282,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SMAD2,1.44,0.0299,2.0785,170.1096,55.38,0.6821,1.2317,171.8141,71.36,0.8169,1.1447,171.6529,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
SMAD6,0,0,1.8671,0.017,0.01,0.0002,1.8671,0.0217,0.01,0.0002,1.401,0.0167,"iPSC-Neuron, Day 21",GSM8787485,GSM8787485_neuron2025.h5ad
