Dataset,Sample_ID,Cell_Type,Replicate,QC_Min_Genes,Cells_Passing_QC,Median_Genes_Per_Cell,Gene_Symbol,Detection_Rate_%,Mean_Log1pCPM_percell_All,Mean_Log1pCPM_percell_Only_Detected,Aggregated_CPM,Gene_Found
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TLK2,36.35,1.3655999898910522,3.7567999362945557,18.185100555419922,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TMC1,0.44,0.014999999664723873,3.4395999908447266,0.1559000015258789,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TMEM43,31.34,1.166100025177002,3.721299886703491,15.30049991607666,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TNFRSF1A,73.95,3.276599884033203,4.430699825286865,81.33599853515625,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TNNC1,19.62,0.7440999746322632,3.7927000522613525,13.448800086975098,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TNNI3,14.55,0.5690000057220459,3.910900115966797,8.673500061035156,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TNNI3K,0.38,0.013899999670684338,3.6552999019622803,0.1363999992609024,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TNNT2,2.29,0.08110000193119049,3.542099952697754,1.2863999605178833,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TNPO3,33.51,1.2402000427246094,3.700500011444092,16.0216007232666,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TOP2B,32.21,1.204300045967102,3.7390999794006348,15.982600212097168,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TOPORS,44.63,1.717900037765503,3.8489999771118164,24.48069953918457,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TP63,0.0,0.0,0.0,0.0,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TPM1,72.59,3.5597000122070312,4.9039998054504395,241.53280639648438,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TPM2,81.91,4.125699996948242,5.0370001792907715,212.31570434570312,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TPM3,91.01,5.002099990844727,5.496300220489502,273.67340087890625,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TPM4,91.66,5.249000072479248,5.726500034332275,410.110595703125,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TRAF3,21.14,0.7796000242233276,3.6870999336242676,9.628600120544434,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TRAF7,44.52,1.7091000080108643,3.838599920272827,25.123899459838867,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TRIM8,43.92,1.7188999652862549,3.9133999347686768,27.67729949951172,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TRPM3,0.05,0.0017000000225380063,3.131200075149536,0.019500000402331352,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TRPM7,28.72,1.093999981880188,3.809299945831299,13.351400375366211,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TRPV4,3.32,0.1152999997138977,3.468100070953369,1.305899977684021,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TRRAP,22.67,0.8384000062942505,3.698199987411499,10.076899528503418,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TSPAN12,12.64,0.45840001106262207,3.6259000301361084,5.282100200653076,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TTR,99.51,9.07759952545166,9.122300148010254,14772.365234375,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TUBA1A,18.15,0.8274999856948853,4.559800148010254,56.46549987792969,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TUBA4A,10.46,0.37709999084472656,3.6043999195098877,4.872799873352051,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TUBB1,0.76,0.02759999968111515,3.618799924850464,0.2728999853134155,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TUBB2A,70.52,3.3557000160217285,4.758699893951416,130.23899841308594,True
